# T=10^0	T=10^1	T=10^2	T=10^3	T=10^4
0	9	91	1009	10105
1	10	104	1016	10160
0	9	100	1033	9998
1	17	108	1039	10057
0	4	90	1028	10043
0	11	92	1091	9983
0	9	95	976	9985
1	8	87	981	9937
1	17	113	1009	9919
2	8	88	929	9964
0	6	99	1011	10034
0	10	93	1000	9903
0	6	106	949	9914
0	6	85	971	9954
1	8	101	988	10008
0	9	103	987	9968
2	13	110	993	10117
1	7	82	999	9902
0	11	85	986	10002
0	6	85	996	10061
0	4	106	971	9994
1	10	100	1046	9911
0	14	108	967	9981
1	12	106	941	9879
2	10	89	958	9882
1	8	98	992	9961
1	20	102	985	9760
0	7	75	987	9809
0	2	107	1000	10169
2	7	89	998	10066
1	10	91	940	9912
3	10	93	968	10015
1	13	93	966	9937
0	11	98	1020	9991
1	8	97	975	10019
0	8	93	1011	10139
2	10	91	987	9793
1	13	109	1008	9882
0	11	92	980	10072
1	15	102	1040	9960
0	5	74	988	10065
0	10	100	980	9951
3	16	89	973	10127
0	8	88	985	9956
1	8	100	988	10021
1	8	97	1020	9935
0	6	91	1032	10192
1	8	98	974	9965
0	12	95	960	10087
2	14	102	952	9943
1	10	101	1019	10219
0	12	107	1043	10111
3	13	94	988	10056
0	8	99	1014	10082
2	14	101	1019	10124
2	9	89	973	9906
0	8	107	958	9866
0	9	98	962	9984
1	13	99	1041	9915
1	14	89	1047	10118
1	7	82	980	9999
2	16	108	1012	10055
0	7	94	987	9947
0	10	123	1019	9924
1	8	106	1048	10227
2	11	102	1008	10054
2	10	81	975	9981
2	12	94	960	10021
0	10	97	922	9990
3	11	90	989	9965
0	10	94	1010	9986
0	13	103	1005	10056
1	5	91	964	9960
2	11	84	997	9925
0	3	109	1008	10130
1	7	89	999	9936
1	8	124	1011	9932
0	10	106	997	10070
1	6	103	1025	10159
0	10	95	984	9993
1	8	106	1044	9997
1	9	117	1036	10087
1	7	84	926	9837
2	7	88	964	9975
1	12	95	975	9982
4	13	110	1068	10068
0	12	103	990	9800
2	4	112	1000	10008
1	9	110	1028	10144
2	8	97	989	10020
2	9	88	1007	10003
2	14	97	1031	9951
3	11	93	972	9849
0	11	106	997	10231
1	15	97	968	9885
0	8	99	994	10107
0	7	93	973	9856
2	11	122	1012	10001
0	9	99	1034	10031
1	9	104	1000	10174
0	10	86	988	10002
0	13	112	1009	9963
0	7	85	994	9949
0	9	97	1018	10002
1	7	95	1040	10153
1	9	111	1039	10054
0	9	104	990	10043
2	10	91	977	10028
0	6	109	1037	10082
3	19	118	1048	10204
0	10	103	975	10029
1	9	96	961	9914
3	14	106	1000	9849
2	17	91	954	10037
1	10	113	1046	10140
1	7	73	998	9824
0	11	105	995	10096
1	11	90	945	9975
3	15	113	1035	10165
1	9	116	979	10043
0	11	100	1016	10063
1	8	86	948	9957
0	8	100	991	9908
2	9	93	999	10062
1	17	101	1016	10008
1	8	99	953	9796
0	10	99	957	10088
0	16	103	992	9837
0	10	91	1020	9793
0	7	97	1028	10137
0	11	103	1010	9900
1	6	101	980	10084
0	10	112	971	10037
3	14	107	1054	9995
0	12	97	984	9994
0	5	91	991	9999
1	13	100	1012	9781
0	11	100	935	9883
0	7	96	999	9814
0	6	89	1022	9844
0	13	109	1022	10110
0	12	115	991	9961
0	6	103	970	10045
2	11	100	1033	10187
1	12	114	1057	10002
0	9	97	987	9971
3	8	95	996	9835
1	5	88	994	9988
2	4	95	951	9948
0	11	106	1020	10077
1	11	95	992	10011
2	8	94	988	10103
2	18	108	991	9791
1	9	110	1001	10120
1	10	109	1025	10120
2	10	81	983	9796
2	12	110	1054	10102
0	10	110	1008	10152
1	6	100	978	9988
0	4	92	951	10205
1	10	102	981	9821
0	7	102	1025	9966
2	11	83	981	10129
1	7	110	1006	10084
0	6	79	986	10146
2	13	110	1011	10046
0	13	97	962	9796
0	8	100	987	9842
1	15	97	987	10188
1	7	106	1026	9932
1	11	121	1034	9944
2	8	105	1009	9807
1	9	103	1032	9885
1	9	90	970	10074
0	11	116	1055	10094
0	5	101	969	9946
4	15	110	1017	10161
1	14	116	944	10091
2	5	84	1022	10015
1	15	105	1055	9787
0	16	109	1001	10028
2	9	87	1032	10113
0	9	105	979	10089
1	10	129	1029	9997
1	12	81	973	9708
0	5	80	955	9990
0	16	117	1020	10132
1	7	92	959	9855
0	6	86	993	9994
3	10	101	1026	10075
1	5	98	948	9857
0	7	86	972	10094
1	9	108	1019	9900
2	14	95	1012	9827
0	10	82	986	10141
3	22	132	1007	10096
1	14	118	1014	10035
2	16	90	948	9948
1	9	98	977	9950
0	7	88	955	9938
2	7	104	1000	9904
1	8	94	979	10025
1	6	86	952	9870
0	7	111	1042	9904
1	4	94	978	9876
1	10	102	1057	9963
2	7	85	1062	10010
2	11	92	954	9907
0	7	104	1000	9915
1	9	83	1042	10037
0	10	93	1017	10042
1	11	109	1029	10037
0	8	95	1067	10008
1	5	101	967	9960
3	12	88	943	9953
1	9	104	1013	9859
1	8	128	1069	10177
2	5	93	953	9775
4	17	103	986	9971
1	6	98	1049	9868
0	12	110	1032	10016
0	3	106	1009	9974
0	12	102	990	10099
0	1	94	986	9910
2	11	111	996	10042
3	13	111	1036	9969
1	8	107	1003	10002
0	3	87	985	9932
1	11	100	967	9982
0	11	98	1000	10000
1	11	112	998	9914
1	9	102	969	10008
2	6	91	1055	10057
2	10	92	1000	9963
3	15	106	999	10075
2	10	112	991	9932
2	10	106	1003	10114
1	14	85	994	10072
0	6	102	993	10111
1	6	77	933	10019
2	16	111	1025	9951
3	14	108	1024	10053
2	18	103	987	10032
1	11	92	992	10022
0	7	102	988	10036
2	8	82	985	9941
0	8	73	1025	10025
0	2	92	1010	9839
1	5	83	1003	9908
2	15	100	1038	10087
1	11	103	971	9986
1	6	103	988	9888
2	12	115	1039	10100
1	13	115	997	10106
1	8	130	1043	10047
2	10	83	970	10019
1	11	119	989	9834
0	8	79	986	9979
0	9	90	936	9847
0	9	111	974	9958
1	10	101	1021	9983
0	12	96	1009	9983
1	11	80	1004	10122
2	9	113	962	9953
0	9	100	1044	10044
0	5	91	999	9995
2	10	102	986	10028
2	6	98	957	10106
1	10	111	994	9926
0	9	99	986	9991
0	9	94	1018	10086
0	15	105	981	9910
1	14	94	987	10159
0	15	104	1030	10042
0	8	95	1008	10025
0	9	109	957	9883
0	9	85	1040	10006
2	12	100	1032	10045
0	5	87	931	10111
2	14	102	996	9894
1	5	93	955	9793
1	5	110	1029	10058
0	7	83	1050	10219
1	11	98	1032	9933
0	8	101	1008	10022
0	7	94	1031	9959
2	11	92	993	9967
0	8	99	984	9939
2	13	110	1016	10053
1	10	85	955	10115
1	10	88	949	9977
0	9	103	1000	10105
0	12	100	962	10199
0	10	89	966	9973
0	11	84	974	9948
4	11	108	1045	10143
0	9	87	990	10088
1	8	81	971	9892
1	6	84	1011	9881
0	9	105	1006	10006
1	13	112	1002	10026
1	11	93	983	9946
3	11	101	1029	10041
0	7	109	1031	10045
2	12	110	1052	10173
0	15	98	1023	10013
2	9	96	970	9996
0	2	97	980	10074
0	16	95	995	10093
0	11	108	1050	10111
1	13	116	1033	9879
2	12	105	1026	10128
3	10	96	1021	10208
1	7	99	968	10088
1	15	95	930	9997
0	10	94	985	10112
1	9	88	920	9664
1	13	103	1041	9983
3	11	85	1010	10190
1	8	93	974	10022
0	14	92	1005	10000
2	13	100	977	10059
0	3	85	1027	10024
2	9	87	978	9808
2	16	104	976	9953
0	5	97	1009	10013
1	7	102	974	10085
0	9	96	983	9891
0	10	102	967	10016
2	18	114	979	9873
2	15	94	997	10024
2	9	98	971	10017
0	8	100	1036	10217
2	11	98	1009	9977
1	14	105	980	9986
0	8	76	1002	9904
1	10	98	1051	10101
0	7	104	998	10108
4	15	103	1025	10007
1	13	104	1024	9956
2	7	115	973	9887
2	14	119	1026	10115
3	14	106	979	9960
1	7	88	993	10141
0	10	109	990	10041
1	11	106	1014	10052
0	9	102	994	9981
1	15	96	1004	10046
2	15	98	987	10079
0	5	100	985	10086
0	6	92	1028	9931
0	4	93	1022	9977
2	14	96	967	9981
1	10	101	1069	10020
1	16	107	1035	10081
0	15	113	1039	9965
0	13	97	979	10044
2	11	107	1033	10010
1	6	101	996	10114
1	6	84	1036	10145
1	7	83	911	9820
0	8	117	1028	9959
1	11	95	956	9945
0	7	116	1018	10031
0	6	90	955	9941
0	7	105	983	9961
0	12	105	991	10046
0	8	110	1033	10223
0	6	103	1020	10139
2	11	96	1061	9948
2	12	94	1014	9975
0	13	104	1013	10132
1	7	91	1034	10079
1	11	91	963	10021
2	13	103	1020	9969
0	9	108	984	10050
0	10	83	1030	10159
2	12	111	1028	10011
0	9	113	1031	10111
1	4	95	1065	10019
1	8	95	955	10138
1	17	103	999	9701
2	14	88	913	9890
0	12	116	971	10123
1	12	100	966	9785
2	10	98	985	9873
0	4	105	978	10018
1	12	94	995	10074
0	8	99	976	9955
2	13	108	1028	9917
1	10	104	1010	9978
0	15	103	1027	10015
1	14	106	1038	10085
0	9	105	938	9928
1	10	106	1051	10005
3	17	102	1048	10161
0	13	96	983	9991
1	9	76	952	9931
2	14	99	998	9878
1	12	93	963	9994
0	6	108	1016	10085
0	9	100	1012	10039
2	7	89	1016	9918
2	10	93	985	9855
1	7	120	990	10087
0	9	102	984	9963
1	12	98	1027	10174
2	5	86	967	9997
1	5	107	965	9775
1	7	96	1045	10113
0	9	82	969	10024
1	8	91	983	9956
0	6	86	1005	9972
3	9	105	993	9918
2	13	113	1012	9941
0	2	90	1018	10113
3	16	109	1035	9932
0	10	112	1015	9964
1	9	107	996	9993
1	7	92	1029	10072
0	12	91	967	10069
0	11	87	1002	9970
2	9	96	992	10016
4	11	95	987	9862
1	13	94	995	10074
2	13	122	1037	10104
1	9	97	980	9936
2	13	99	960	10039
1	10	100	1039	9896
1	8	93	934	9828
2	11	95	1027	10074
2	7	115	987	9967
0	7	109	1039	10115
2	10	99	999	10057
1	12	104	999	10143
1	6	87	929	9927
0	9	118	1104	9856
0	11	95	1050	9996
1	10	97	1008	9981
1	7	86	1000	10113
0	10	87	1007	10176
0	7	102	993	10046
2	9	86	962	9851
1	6	95	955	9980
0	13	108	955	9927
0	9	103	960	9919
2	11	91	985	9971
1	11	100	924	9878
1	9	80	944	9857
0	8	113	953	9817
2	13	99	1001	10160
4	11	117	1033	10043
1	9	102	957	9973
1	8	111	1059	9996
1	9	89	1019	10165
1	10	103	940	9922
4	16	114	1001	10000
0	7	105	1045	10076
1	8	90	984	10185
2	8	89	895	10023
0	5	93	977	9965
1	9	103	1030	10103
1	10	91	1018	9971
2	7	114	983	10088
0	12	92	988	9895
0	9	93	947	9955
0	14	89	982	9664
1	8	95	1017	10081
2	14	123	1037	10060
1	9	92	1066	10150
0	12	99	1001	10153
0	7	81	1011	10022
1	14	101	961	9975
3	7	98	956	9864
0	5	83	1058	9948
0	7	98	981	9871
0	10	113	976	9910
0	13	103	1006	9956
2	7	94	1008	10110
0	8	93	985	10047
1	16	104	1041	9915
1	8	92	996	10112
2	13	110	969	10082
1	14	102	995	9984
1	7	99	1010	10012
2	11	100	1014	10128
2	15	125	1010	10087
2	11	110	1016	10054
0	8	101	996	10016
2	12	105	979	10045
2	9	96	988	9929
1	10	87	947	10093
0	12	108	1020	10099
2	8	111	1020	10148
0	7	101	1018	10033
0	7	87	983	10070
0	6	87	945	9754
2	7	95	964	10007
1	9	104	1019	9995
0	8	117	1029	10042
1	8	85	993	10116
2	15	106	991	10044
1	17	114	1028	9938
1	5	104	1013	10180
1	6	105	977	10070
2	10	105	1015	10028
2	17	128	1026	10082
2	9	114	1028	9943
1	13	115	971	9934
1	9	92	988	9976
0	9	100	1019	10169
3	12	107	970	10124
1	8	94	979	9987
1	11	116	1031	10023
0	5	106	1026	10021
3	10	89	999	9987
0	14	113	1060	10165
1	10	102	1020	9910
3	12	104	1016	9947
0	8	96	979	9872
1	11	81	988	10163
1	10	107	1019	10013
4	13	102	987	10130
0	17	108	1063	10000
3	12	95	1006	10073
2	11	89	967	9974
3	9	110	1043	9823
0	10	104	1032	10105
2	13	110	991	9925
1	13	105	1018	10260
2	6	98	968	9988
1	8	107	1063	9902
0	12	90	979	9853
0	6	105	1005	10262
0	5	92	1031	10041
0	6	92	1017	9991
1	12	109	990	9926
1	7	100	1018	9815
0	8	99	977	9855
0	11	102	1024	10033
0	10	98	1018	9808
0	8	100	1041	10068
0	12	100	1027	10120
1	12	100	1030	9994
2	16	123	1092	10181
0	8	119	938	9773
1	10	90	953	9849
3	11	107	984	10007
1	11	95	1006	9883
0	12	111	1010	9969
3	10	119	997	10149
0	5	88	1024	10060
0	15	99	1031	10039
0	9	112	1036	10094
2	8	106	1012	10258
1	7	95	1007	10115
0	7	99	1002	10001
1	12	108	992	10046
3	12	113	983	9920
1	10	115	999	9964
0	13	95	962	9929
1	6	102	1002	10197
0	14	113	1003	9985
0	12	101	996	9864
1	7	88	941	9996
2	13	118	1026	10034
1	12	124	1031	9781
1	10	93	936	9880
2	15	108	958	9942
1	10	85	1020	9951
0	7	100	1029	9787
0	11	105	1051	10110
0	8	86	1024	10055
0	6	84	1004	9921
3	14	113	1018	9890
3	8	100	1020	10070
0	9	79	964	9961
0	9	103	1024	9944
1	8	97	1001	10064
2	11	103	1058	9953
1	13	110	987	10208
0	8	93	999	9876
0	12	94	953	9939
1	7	96	981	9813
0	11	94	979	9981
1	10	123	1000	9980
2	15	100	1040	10013
1	11	111	1027	10114
0	11	97	959	9996
1	10	94	1003	9991
2	11	105	1025	10150
5	13	111	1045	10117
1	4	97	979	9915
1	8	97	1016	10108
0	13	104	996	9994
0	10	74	961	10019
1	11	102	985	9908
2	5	93	1041	10251
1	10	104	1071	10093
2	15	105	1009	9976
2	15	112	1007	9972
1	5	101	1000	10048
1	6	105	1000	10008
0	9	93	977	9905
1	9	88	993	10038
0	8	93	937	9825
0	10	104	963	9816
0	11	107	1017	9944
2	15	102	1012	10075
1	6	111	1014	10023
1	11	112	985	10085
0	8	112	1034	10017
0	11	111	1007	10145
3	8	92	985	9886
1	12	105	998	9975
1	4	83	1009	10016
0	9	115	1057	10115
1	10	94	987	9990
1	9	101	957	9780
0	5	102	971	9985
0	9	108	1043	10221
3	12	92	987	10003
2	6	86	1000	9989
1	9	93	963	9701
0	12	104	992	10060
0	10	77	968	10092
1	12	102	1032	10247
0	12	82	968	9832
0	10	99	1008	10084
1	7	87	949	9743
0	9	103	972	10160
0	10	112	1019	10053
0	6	108	1023	9952
0	13	99	979	9971
0	3	97	953	10014
0	12	100	980	10018
0	14	107	1017	9927
2	10	99	982	10088
2	14	111	1026	10127
1	11	95	977	10071
0	8	95	947	10096
0	7	96	1026	10021
1	12	94	1052	10135
1	7	98	1024	10153
0	6	77	981	9918
0	13	99	1001	9837
2	7	89	993	10022
0	14	96	955	9997
3	15	109	981	10123
0	6	78	991	9927
3	10	119	1027	9961
2	8	89	925	9810
3	13	96	1002	9918
1	8	102	992	10086
2	13	97	1001	9811
1	13	104	1026	9920
0	13	111	1022	9991
2	16	99	1048	10053
2	3	100	1010	10193
3	11	108	1065	9951
2	12	113	951	9872
1	9	89	997	9962
0	10	94	974	10122
1	11	100	967	10195
1	14	90	949	9865
1	11	100	962	9929
0	6	77	1049	10075
3	11	102	1008	10037
0	6	94	1005	10072
1	9	95	971	9982
1	8	80	893	9850
0	8	116	1032	9968
3	17	99	983	9930
2	16	109	1030	10146
1	7	96	961	9957
1	14	97	1020	10214
2	9	107	1059	10091
1	8	94	972	9980
1	12	116	995	10076
2	18	99	977	10044
1	12	98	994	9990
0	13	104	992	10028
0	15	119	1029	9881
0	9	103	962	10033
1	10	82	953	10163
1	6	80	1008	9995
1	12	104	1021	10138
3	13	105	1011	10175
1	13	95	975	9997
1	13	94	999	10065
0	7	84	986	10003
1	3	98	1004	9920
7	15	101	1038	9977
1	8	94	1002	10081
2	7	112	1048	9967
0	8	80	993	9990
0	8	117	1059	9968
0	6	81	944	10119
2	14	101	983	10055
0	3	88	941	10076
0	6	105	1031	9898
2	8	83	974	9976
1	11	105	1007	10011
1	18	98	1019	9869
1	5	96	986	9980
2	14	103	1009	9929
2	6	77	965	9992
1	13	101	986	9922
1	15	101	1073	10236
0	8	100	1056	9996
2	13	94	974	10134
1	10	106	1003	9832
1	12	93	1009	10006
1	11	110	995	9942
1	9	94	1026	9998
1	10	86	973	9928
2	10	98	989	10025
1	12	92	1040	10058
0	10	94	967	9943
0	9	90	941	9887
0	11	108	997	9933
2	6	91	941	9917
2	9	104	999	10091
0	7	87	971	9952
2	8	93	1022	10297
1	10	98	1008	9898
1	12	102	987	10002
1	8	100	997	9934
2	10	84	947	9962
0	10	99	1042	9968
1	9	108	1010	10027
1	8	104	999	10176
0	19	103	1029	9888
0	8	111	997	9906
1	10	99	992	10025
1	9	112	1004	10152
2	8	89	1014	9997
2	10	94	1040	10093
0	10	106	978	9951
0	9	110	1005	9990
4	13	108	974	9813
0	14	105	989	10156
0	6	94	963	10010
0	7	101	1001	10138
1	15	100	984	10168
2	6	87	1058	9923
0	11	93	964	10019
1	5	98	1046	10067
3	9	102	1034	9940
2	13	117	992	9851
1	10	95	995	9938
2	15	106	1010	10027
1	5	83	956	9968
1	13	95	982	9894
0	13	112	1012	10051
0	10	105	991	10078
1	9	94	1013	10210
0	10	99	1010	9976
1	10	98	1013	9994
1	11	113	989	10049
0	5	91	1019	9920
2	14	120	1036	9956
2	10	106	1012	9889
0	10	89	996	10053
1	12	109	971	9703
1	15	90	1005	9934
1	13	94	990	9959
2	14	95	952	10062
2	10	116	1023	10181
0	6	84	959	9872
0	3	94	1011	9887
1	12	98	1021	10008
2	11	101	1005	10059
3	9	92	987	10014
1	11	88	988	9932
1	11	111	1026	9907
1	7	105	1032	10156
0	4	106	1047	9919
2	11	88	967	9883
3	13	99	1013	10065
3	11	109	1042	9939
1	5	100	1016	9852
2	8	84	974	9907
2	10	94	972	9997
2	11	105	1073	10100
0	11	102	981	9982
0	13	107	1017	10107
0	11	82	948	10023
0	8	100	1030	9972
0	8	103	995	9983
1	18	94	1023	9949
0	11	100	982	10177
1	7	88	988	10086
2	15	90	1009	10031
2	18	102	969	9958
1	12	100	1051	9997
3	12	99	1022	9986
1	9	93	962	9929
1	9	113	1038	9995
0	13	106	985	9913
0	12	95	1005	9908
0	13	80	957	9942
0	8	105	989	9984
2	11	93	1006	10008
1	11	108	1021	10136
0	10	79	1009	9961
3	18	117	975	9913
1	6	98	976	10033
0	5	109	1016	9964
0	7	105	1008	10185
0	13	95	1050	9982
4	14	105	1043	9867
1	6	108	952	10003
1	11	98	1016	9831
0	4	114	1036	10102
1	8	88	1026	10140
1	7	93	998	9917
1	11	115	975	9933
0	8	105	997	9967
0	11	87	1066	10141
1	8	96	979	10041
1	16	114	984	10083
0	6	105	1000	9918
0	10	93	1005	10028
0	8	92	1026	10066
1	15	109	1030	9990
2	7	86	906	10077
1	5	89	985	9938
1	9	119	1028	9866
1	7	98	1004	9972
1	12	109	1007	10018
2	14	112	1009	10225
1	9	90	1002	9882
1	6	88	1044	10066
0	11	101	1017	10237
0	12	95	1009	10208
1	13	115	955	9869
2	10	93	1037	9980
0	9	77	919	9868
0	11	89	1038	9852
2	14	100	1070	10079
0	3	97	917	9981
2	10	103	991	9919
0	4	93	994	9982
2	15	107	1017	9940
1	6	84	979	9940
0	8	107	998	10172
2	13	107	987	9852
0	6	91	1012	9966
3	13	113	1025	10121
2	9	96	986	9975
3	11	95	1003	9775
0	9	92	989	10079
3	17	109	961	10062
1	9	100	957	9888
3	16	100	1061	10067
2	12	110	985	10024
4	15	95	991	10060
5	17	101	1009	10045
1	12	91	952	10023
0	11	87	953	9807
3	17	114	1035	10181
2	12	81	1000	10047
0	13	100	1008	10045
1	10	88	1009	10015
2	13	107	987	10044
0	12	120	960	10051
0	8	103	1053	10029
1	15	110	986	9736
2	8	98	957	9972
0	12	100	964	10017
0	12	93	1012	9883
1	5	83	974	9926
2	13	107	1041	9995
0	10	92	999	9956
2	17	107	1001	10061
1	9	105	968	10036
1	5	94	1008	10059
1	11	105	1024	9897
0	11	98	1019	10037
1	10	89	1030	10226
2	10	100	1008	10045
1	11	107	998	10031
0	16	90	1006	9958
0	5	92	1011	9901
0	9	96	1023	10010
0	10	96	977	9899
2	8	110	1040	9998
0	8	101	1005	10068
0	11	100	1030	9997
2	7	91	986	10031
0	11	96	994	10093
4	17	109	1033	10038
0	4	108	1049	10178
0	13	106	985	9872
1	9	105	976	9965
1	13	96	986	9924
0	9	113	1030	9893
2	18	95	1008	10059
1	6	85	988	9985
1	13	119	1021	10064
0	7	107	919	9850
0	6	104	1046	10080
2	10	97	1013	10054
1	8	102	960	10023
0	7	93	978	10008
0	12	118	1020	10044
0	12	109	1048	10115
0	11	106	1042	9837
1	11	102	1037	10051
1	8	86	938	9946
1	8	106	1076	9954
1	8	105	976	10122
1	5	101	994	9986
2	10	96	985	10041
3	15	113	985	10116
1	16	91	1016	10011
2	12	106	1060	10116
1	8	111	1011	9954
1	13	102	980	9823
1	9	100	977	9902
1	16	102	1043	9974
0	9	89	1061	10179
1	7	106	1045	9992
1	9	92	1001	9956
2	12	108	995	10069
0	9	106	956	10058
2	20	100	1010	10106
0	9	97	1037	9953
1	10	102	969	9840
1	11	94	1025	10268
2	11	92	1007	10000
0	12	106	960	10077
1	4	97	1011	9876
4	14	89	1002	9983
0	10	111	948	9869
0	6	83	966	10043
0	8	94	976	9979
0	11	108	1027	10081
1	9	109	949	9956
0	8	98	979	9837
0	9	96	980	10047
1	14	107	941	9922
2	14	116	1021	10091
3	12	104	1013	9969
0	6	86	955	10083
1	9	102	1003	10004
0	10	99	998	10217
0	8	93	952	9913
1	9	93	991	9903
1	10	97	1008	10055
1	10	112	996	9908
0	8	115	980	10040
2	7	90	959	9970
6	11	93	996	10062
0	9	121	970	9989
0	11	101	1034	9913
1	7	93	954	9810
0	6	79	953	9862
1	17	108	985	9973
0	6	108	1031	10009
1	6	97	1046	10247
1	5	105	1006	9917
0	7	108	1018	10020
2	11	107	1035	10076
0	10	103	1007	10030
0	8	104	975	10017
2	15	87	948	9938
5	17	114	996	10064
0	7	102	992	9924
2	15	113	970	10168
1	7	95	996	9948
3	15	88	967	9976
1	5	92	1018	10253
0	10	85	965	10046
2	5	89	925	10131
0	10	87	1022	10019
2	11	107	1028	10062
1	12	94	990	10074
0	11	116	961	9957
1	12	76	1037	10072
0	5	81	949	9899
1	10	94	1038	9889
2	11	106	1026	10290
1	16	101	1018	9976
1	14	99	1007	10050
3	10	99	956	9987
3	7	96	1049	10170
2	15	104	1070	10112
0	12	102	996	10120
3	12	94	963	9918
1	10	94	985	9977
0	10	112	999	9986
2	11	102	994	9978
1	14	110	1043	10195
2	19	115	1039	10130
0	4	93	937	9872
1	16	113	1012	9995
1	13	97	1021	9954
0	12	100	996	10019
3	9	93	963	9925
0	11	93	942	9887
0	10	87	1019	9951
0	15	116	1012	10013
0	7	88	964	9888
1	17	100	963	9921
2	11	104	966	9890
3	18	117	1083	10076
0	7	82	1033	10044
0	7	97	985	10050
1	17	111	951	9972
0	6	107	986	9985
2	9	103	1035	10023
1	7	108	997	10168
0	11	102	1001	10177
3	13	115	1069	10076
1	12	119	1023	9954
1	7	102	980	10018
0	5	97	1036	10022
1	14	111	1005	9920
0	7	90	1034	10046
2	9	85	977	9870
2	9	91	1030	10036
1	9	98	1006	9921
1	9	83	1049	10033
1	9	87	984	10128
1	7	86	965	9947
4	11	103	1023	10029
0	10	128	1035	10117
1	9	92	997	9937
0	10	112	961	9876
1	4	101	941	9850
0	10	100	1007	9995
2	13	106	1003	10171
0	6	97	1022	9980
0	11	86	929	9962
2	6	89	990	10113
0	11	91	984	9895
2	9	100	1017	10075
1	11	116	993	10009
0	8	106	1009	9845
0	13	101	1028	10138
2	10	92	994	9995
0	14	110	957	10085
1	13	122	971	9974
1	12	90	1024	10169
1	10	105	1019	10063
0	6	100	1076	10063
0	3	96	1016	10004
0	12	108	978	10008
1	9	99	1044	10085
0	9	105	1009	9917
0	13	119	1058	10150
1	5	93	992	9950
0	12	90	1054	10016
1	16	97	976	9870
0	9	122	982	9840
1	7	92	955	9809
2	9	80	979	10073
0	12	107	994	10016
1	10	99	978	9899
0	5	115	1026	9974
2	10	109	1039	10017
0	6	89	938	10069
1	7	96	1000	9945
2	8	98	966	9956
0	12	112	981	10174
0	11	95	1004	9896
1	9	94	1013	10075
1	11	102	978	9886
0	6	118	1001	10059
1	7	95	984	10007
0	3	103	1003	10010
1	10	122	1037	9996
1	7	112	969	10047
1	9	92	966	9818
1	7	107	1060	9967
1	8	101	1042	10074
2	12	98	970	9905
2	14	129	1048	10042
0	6	101	978	10032
1	12	106	983	10019
0	8	91	1000	9988
1	13	110	986	10008
0	7	113	1014	10000
2	8	86	977	10065
1	5	86	1016	10041
2	14	106	1019	10057
1	11	89	993	10069
0	8	98	990	10049
0	5	93	1022	10087
0	6	108	998	9999
1	8	104	1033	9942
0	8	92	1029	9923
1	7	109	1012	10077
1	13	101	1012	10009
1	9	94	1032	10047
1	7	109	985	9895
2	8	85	987	9774
0	13	103	998	10033
5	9	96	968	10043
0	12	104	1047	10036
1	14	85	1000	10131
0	11	95	1018	10036
0	4	96	1014	10019
1	10	94	1016	10025
1	12	111	981	9951
2	11	93	974	9997
0	9	92	1017	9983
0	8	116	1061	9938
2	13	131	1024	10123
0	12	94	998	10019
